Prov,Kota,Kec,Kel,TPS,Suara Sah,Total Suara,Paslon 1,Paslon 2,Paslon 3,Link Dokumen
SUMATERA BARAT,AGAM,AMPEK NAGARI,BATU KAMBING,TPS 006,174,174,118,44,8,https://sirekap-obj-formc.kpu.go.id/4cba/pemilu/ppwp/13/06/13/20/01/1306132001006-20240214-234348--69b4283e-440c-474c-bc0b-e39af4ad07b2.jpg
SUMATERA BARAT,AGAM,AMPEK NAGARI,BAWAN,TPS 010,166,168,0,0,0,https://sirekap-obj-formc.kpu.go.id/8789/pemilu/ppwp/13/06/13/20/03/1306132003010-20240216-134737--28be60cc-e8d8-474b-92a5-751e7d963e08.jpg
SUMATERA BARAT,AGAM,BANUHAMPU,PAKAN SINAYAN,TPS 005,18,2,155,58,5,https://sirekap-obj-formc.kpu.go.id/6e0c/pemilu/ppwp/13/06/06/20/03/1306062003005-20240215-170721--3abbf52e-69b6-4762-baff-8a280fdbfd6e.jpg
SUMATERA BARAT,AGAM,BASO,KOTO GADANG,TPS 005,169,172,16,48,5,https://sirekap-obj-formc.kpu.go.id/7756/pemilu/ppwp/13/06/08/20/09/1306082009005-20240216-133910--ea472c30-3acd-4345-95b8-73e8ed78e906.jpg
SUMATERA BARAT,AGAM,BASO,KOTO GADANG,TPS 012,149,150,104,39,5,https://sirekap-obj-formc.kpu.go.id/3a08/pemilu/ppwp/13/06/08/20/09/1306082009012-20240216-020031--98ea1757-5c84-4b16-92c4-52e9a184ea71.jpg
SUMATERA BARAT,AGAM,BASO,KOTO TINGGI,TPS 009,67,67,127,37,3,https://sirekap-obj-formc.kpu.go.id/db15/pemilu/ppwp/13/06/08/20/01/1306082001009-20240216-123713--d461525c-09cd-4819-82e2-315d3ccdcecb.jpg
SUMATERA BARAT,AGAM,BASO,KOTO TINGGI,TPS 013,157,157,122,28,6,https://sirekap-obj-formc.kpu.go.id/b48e/pemilu/ppwp/13/06/08/20/01/1306082001013-20240216-143419--5653ba1d-4f58-4837-a419-13e355de72b8.jpg
SUMATERA BARAT,AGAM,BASO,PADANG TAROK,TPS 026,170,171,0,0,0,https://sirekap-obj-formc.kpu.go.id/8ef5/pemilu/ppwp/13/06/08/20/05/1306082005026-20240218-131137--c2a2fb96-6c5b-4ee5-b372-bd525976b946.jpg
SUMATERA BARAT,AGAM,CANDUNG,CANDUANG KOTO LAWEH,TPS 026,143,145,405,826,882,https://sirekap-obj-formc.kpu.go.id/aee6/pemilu/ppwp/13/06/14/20/01/1306142001026-20240218-203710--06c528ce-87e6-4ea2-8a2a-a4dfbc4caf5b.jpg
SUMATERA BARAT,AGAM,IV KOTO,BALINGKA,TPS 016,144,145,101,42,0,https://sirekap-obj-formc.kpu.go.id/1cc4/pemilu/ppwp/13/06/05/20/03/1306052003016-20240215-033928--34a9a5ee-c000-4970-b8a9-6f55d7420fbb.jpg
SUMATERA BARAT,AGAM,IV KOTO,GUGUAK TABEK SAROJO,TPS 008,183,183,144,75,3,https://sirekap-obj-formc.kpu.go.id/6cf1/pemilu/ppwp/13/06/05/20/05/1306052005008-20240214-210927--a2d4841b-3f03-437f-9890-8edbb0667909.jpg
SUMATERA BARAT,AGAM,KAMANG MAGEK,KAMANG TANGAH ANAM SUKU,TPS 005,163,165,145,15,7,https://sirekap-obj-formc.kpu.go.id/0097/pemilu/ppwp/13/06/15/20/04/1306152004005-20240216-155045--73259ee3-6894-45fd-894b-e7f4a52ce983.jpg
SUMATERA BARAT,AGAM,KAMANG MAGEK,MAGEK,TPS 005,104,104,829,844,880,https://sirekap-obj-formc.kpu.go.id/e407/pemilu/ppwp/13/06/15/20/01/1306152001005-20240218-215113--4f13f3fd-2042-44b2-bc01-bee8aec5c996.jpg
SUMATERA BARAT,AGAM,KAMANG MAGEK,MAGEK,TPS 011,167,168,60,47,4,https://sirekap-obj-formc.kpu.go.id/53f5/pemilu/ppwp/13/06/15/20/01/1306152001011-20240216-072232--d22a9874-e723-4d6b-b4ef-7f18ce93c8f5.jpg
SUMATERA BARAT,AGAM,KAMANG MAGEK,PAUH KAMANG MUDIAK,TPS 004,138,141,777,25,0,https://sirekap-obj-formc.kpu.go.id/fc27/pemilu/ppwp/13/06/15/20/05/1306152005004-20240218-144520--920ab2aa-0e9a-4ddf-8a64-82bcd287733e.jpg
SUMATERA BARAT,AGAM,KAMANG MAGEK,PAUH KAMANG MUDIAK,TPS 005,160,168,214,40,5,https://sirekap-obj-formc.kpu.go.id/94e3/pemilu/ppwp/13/06/15/20/05/1306152005005-20240218-143741--0b350b84-0520-4136-afa2-ea5fd96fea00.jpg
SUMATERA BARAT,AGAM,LUBUK BASUNG,GARAGAHAN,TPS 021,117,118,49,58,0,https://sirekap-obj-formc.kpu.go.id/7f90/pemilu/ppwp/13/06/02/20/02/1306022002021-20240214-230034--05e1c536-582a-4c38-89de-63c0392911bd.jpg
SUMATERA BARAT,AGAM,LUBUK BASUNG,KAMPUNG PINANG,TPS 009,131,135,80,51,300,https://sirekap-obj-formc.kpu.go.id/ab29/pemilu/ppwp/13/06/02/20/03/1306022003009-20240216-095727--f0b34a93-efc3-4637-b793-70e0c08d9b6a.jpg
SUMATERA BARAT,AGAM,LUBUK BASUNG,KAMPUNG TANGAH,TPS 015,140,143,70,55,8,https://sirekap-obj-formc.kpu.go.id/9843/pemilu/ppwp/13/06/02/20/04/1306022004015-20240216-003922--447dc495-9448-4776-8fa1-f6c43ca098f6.jpg
SUMATERA BARAT,AGAM,LUBUK BASUNG,LUBUK BASUNG,TPS 028,171,175,109,54,12,https://sirekap-obj-formc.kpu.go.id/7f42/pemilu/ppwp/13/06/02/20/01/1306022001028-20240217-171309--67f7a44d-835e-4e71-b21f-b1064e6b368d.jpg
SUMATERA BARAT,AGAM,LUBUK BASUNG,LUBUK BASUNG,TPS 106,154,155,103,48,5,https://sirekap-obj-formc.kpu.go.id/f0f5/pemilu/ppwp/13/06/02/20/01/1306022001106-20240214-155600--2668813b-7650-4f71-858d-637af6ea7da4.jpg
SUMATERA BARAT,AGAM,MATUR,MATUA MUDIAK,TPS 003,212,213,162,45,4,https://sirekap-obj-formc.kpu.go.id/d66b/pemilu/ppwp/13/06/04/20/02/1306042002003-20240218-180925--7b3f7c72-ac2c-4e6c-ba31-f351751f336e.jpg
SUMATERA BARAT,AGAM,PALEMBAYAN,BARINGIN,TPS 002,143,144,113,29,2,https://sirekap-obj-formc.kpu.go.id/8d70/pemilu/ppwp/13/06/11/20/01/1306112001002-20240216-133354--1a34c47c-097b-4aee-8b99-5c0487bed31b.jpg
SUMATERA BARAT,AGAM,PALEMBAYAN,BARINGIN,TPS 012,139,141,112,76,6,https://sirekap-obj-formc.kpu.go.id/2093/pemilu/ppwp/13/06/11/20/01/1306112001012-20240215-000523--fcc5bda0-77e2-4856-a827-3c7fd995deb2.jpg
SUMATERA BARAT,AGAM,TANJUNG MUTIARA,DURIAN KAPEH DARUSSALAM,TPS 005,177,135,68,55,0,https://sirekap-obj-formc.kpu.go.id/1859/pemilu/ppwp/13/06/01/20/04/1306012004005-20240214-230310--29d13433-98a4-481a-b759-92daadd5dc53.jpg
SUMATERA BARAT,AGAM,TANJUNG MUTIARA,TIKU SELATAN,TPS 002,123,123,78,42,2,https://sirekap-obj-formc.kpu.go.id/357e/pemilu/ppwp/13/06/01/20/01/1306012001002-20240217-175002--6b4c5a99-c8d2-4103-9ae8-0edbd0298e40.jpg
SUMATERA BARAT,AGAM,TANJUNG MUTIARA,TIKU UTARA,TPS 001,138,142,94,78,6,https://sirekap-obj-formc.kpu.go.id/08a8/pemilu/ppwp/13/06/01/20/02/1306012002001-20240218-110238--46569808-1968-4054-8b1b-539b898bc654.jpg
