Prov,Kota,Kec,Kel,TPS,Suara Sah,Total Suara,Paslon 1,Paslon 2,Paslon 3,Link Dokumen
SULAWESI TENGAH,BANGGAI,BATUI,USO,TPS 002,204,206,77,173,14,https://sirekap-obj-formc.kpu.go.id/e978/pemilu/ppwp/72/01/01/20/12/7201012012002-20240215-095953--df801521-557e-4165-993d-801875463e64.jpg
SULAWESI TENGAH,BANGGAI,BUALEMO,TOIBA,TPS 001,236,6,25,200,5,https://sirekap-obj-formc.kpu.go.id/fc9e/pemilu/ppwp/72/01/08/20/04/7201082004001-20240214-155347--d222c2fe-afa8-4977-ab6c-80410df95a55.jpg
SULAWESI TENGAH,BANGGAI,BUNTA,BUNTA II,TPS 002,201,209,176,115,10,https://sirekap-obj-formc.kpu.go.id/406c/pemilu/ppwp/72/01/02/10/25/7201021025002-20240216-210753--931e5a8a-5aec-4ba7-864d-eeb35ce268a7.jpg
SULAWESI TENGAH,BANGGAI,BUNTA,BUNTA II,TPS 004,164,165,30,122,11,https://sirekap-obj-formc.kpu.go.id/5795/pemilu/ppwp/72/01/02/10/25/7201021025004-20240216-150943--73c4cc82-cb68-40dd-ac35-cf10e78a7639.jpg
SULAWESI TENGAH,BANGGAI,BUNTA,NANGA-NANGAON,TPS 002,195,197,5,154,26,https://sirekap-obj-formc.kpu.go.id/4872/pemilu/ppwp/72/01/02/20/28/7201022028002-20240217-113559--bbcc022d-67b3-41dd-ada8-7b31facfaf8d.jpg
SULAWESI TENGAH,BANGGAI,LUWUK,BUNGIN,TPS 013,110,110,15,83,22,https://sirekap-obj-formc.kpu.go.id/527a/pemilu/ppwp/72/01/04/10/12/7201041012013-20240214-155328--bb7ac598-2e94-44e2-ba3c-8c994588b692.jpg
SULAWESI TENGAH,BANGGAI,LUWUK,LUWUK,TPS 020,185,187,68,10,7,https://sirekap-obj-formc.kpu.go.id/fd6b/pemilu/ppwp/72/01/04/10/09/7201041009020-20240214-155246--0201a9be-74e7-44c5-a9b4-2f1e4cfc79ae.jpg
SULAWESI TENGAH,BANGGAI,LUWUK SELATAN,BUBUNG,TPS 002,195,197,36,131,24,https://sirekap-obj-formc.kpu.go.id/024d/pemilu/ppwp/72/01/20/20/01/7201202001002-20240215-235225--5b9e2a04-fd54-4d3b-a68c-5ff29f7eaf62.jpg
SULAWESI TENGAH,BANGGAI,LUWUK SELATAN,HANGA-HANGA PERMAI,TPS 002,169,169,55,107,10,https://sirekap-obj-formc.kpu.go.id/ac28/pemilu/ppwp/72/01/20/10/05/7201201005002-20240215-021816--023fee64-019f-4681-8342-3e7988048849.jpg
SULAWESI TENGAH,BANGGAI,LUWUK SELATAN,KOMPO,TPS 901,207,213,22,263,22,https://sirekap-obj-formc.kpu.go.id/44eb/pemilu/ppwp/72/01/20/10/06/7201201006901-20240214-192104--d50ab751-4887-45d6-8a77-80bcd92f4428.jpg
SULAWESI TENGAH,BANGGAI,LUWUK SELATAN,SIMPONG,TPS 005,182,182,59,160,12,https://sirekap-obj-formc.kpu.go.id/5079/pemilu/ppwp/72/01/20/10/02/7201201002005-20240214-211910--876c6cf1-f41c-4750-9283-a4c1f3c98861.jpg
SULAWESI TENGAH,BANGGAI,LUWUK SELATAN,SIMPONG,TPS 006,173,176,72,97,8,https://sirekap-obj-formc.kpu.go.id/abb4/pemilu/ppwp/72/01/20/10/02/7201201002006-20240215-125902--6480f39b-aaad-4f77-b647-be1e56605a1d.jpg
